mesh_id,hospital_name,n_cases,share,risk_score
14056_03831,イムス明理会仙台総合病院（中央四,5,0.060240963855421686,0.5883409874669009
14056_03831,中嶋病院（大梶,1,0.012048192771084338,0.5883409874669009
14056_03831,仙台医療センター（宮城野二,17,0.20481927710843373,0.5883409874669009
14056_03831,仙台厚生病院（広瀬町,1,0.012048192771084338,0.5883409874669009
14056_03831,仙台市立病院（あすと長町一,12,0.14457831325301204,0.5883409874669009
14056_03831,仙台徳洲会病院（高玉町,5,0.060240963855421686,0.5883409874669009
14056_03831,仙台赤十字病院（八木山本町二,5,0.060240963855421686,0.5883409874669009
14056_03831,伊藤病院（二日町）,3,0.03614457831325301,0.5883409874669009
14056_03831,広南病院（長町南四,7,0.08433734939759036,0.5883409874669009
14056_03831,東北公済病院（国分町二,3,0.03614457831325301,0.5883409874669009
14056_03831,東北労災病院（台原四,13,0.1566265060240964,0.5883409874669009
14056_03831,東北大学病院（星陵町,7,0.08433734939759036,0.5883409874669009
14056_03831,泉整形外科病院（上谷刈,3,0.03614457831325301,0.5883409874669009
14056_03831,ＪＣＨＯ仙台病院（紫山二,1,0.012048192771084338,0.5883409874669009
14060_03831,イムス明理会仙台総合病院（中央四,4,0.11428571428571428,0.6633575118845011
14060_03831,中嶋病院（大梶,2,0.05714285714285714,0.6633575118845011
14060_03831,仙台医療センター（宮城野二,2,0.05714285714285714,0.6633575118845011
14060_03831,仙台厚生病院（堤通雨宮町,1,0.02857142857142857,0.6633575118845011
14060_03831,仙台厚生病院（広瀬町,3,0.08571428571428572,0.6633575118845011
14060_03831,仙台市立病院（あすと長町一,4,0.11428571428571428,0.6633575118845011
14060_03831,伊藤病院（二日町）,5,0.14285714285714285,0.6633575118845011
14060_03831,広南病院（長町南四,1,0.02857142857142857,0.6633575118845011
14060_03831,東北公済病院（国分町二,3,0.08571428571428572,0.6633575118845011
14060_03831,東北労災病院（台原四,7,0.2,0.6633575118845011
14060_03831,泉病院（長命ヶ丘二,2,0.05714285714285714,0.6633575118845011
14060_03831,ＪＲ仙台病院（五橋一,1,0.02857142857142857,0.6633575118845011
14060_03834,その他私的診療所（宮城,1,0.006993006993006993,0.5792352128259298
14060_03834,イムス明理会仙台総合病院（中央四,11,0.07692307692307693,0.5792352128259298
14060_03834,中嶋病院（大梶,17,0.11888111888111888,0.5792352128259298
14060_03834,仙台医療センター（宮城野二,13,0.09090909090909091,0.5792352128259298
14060_03834,仙台厚生病院（広瀬町,6,0.04195804195804196,0.5792352128259298
14060_03834,仙台市立病院（あすと長町一,15,0.1048951048951049,0.5792352128259298
14060_03834,仙台徳洲会病院（高玉町,31,0.21678321678321677,0.5792352128259298
14060_03834,広南病院（長町南四,3,0.02097902097902098,0.5792352128259298
14060_03834,東北公済病院（国分町二,14,0.0979020979020979,0.5792352128259298
14060_03834,東北労災病院（台原四,17,0.11888111888111888,0.5792352128259298
14060_03834,東北大学病院（星陵町,8,0.055944055944055944,0.5792352128259298
14060_03834,泉整形外科病院（上谷刈,5,0.03496503496503497,0.5792352128259298
14060_03834,県こども病院（落合四,2,0.013986013986013986,0.5792352128259298
14065_03827,仙台赤十字病院（八木山本町二,1,1.0,
14065_03830,東北公済病院（国分町二,1,1.0,0.6
14065_03837,イムス明理会仙台総合病院（中央四,3,0.03529411764705882,0.6151430724640667
14065_03837,中嶋病院（大梶,2,0.023529411764705882,0.6151430724640667
14065_03837,仙台医療センター（宮城野二,4,0.047058823529411764,0.6151430724640667
14065_03837,仙台厚生病院（堤通雨宮町,10,0.11764705882352941,0.6151430724640667
14065_03837,仙台厚生病院（広瀬町,1,0.011764705882352941,0.6151430724640667
14065_03837,仙台市立病院（あすと長町一,4,0.047058823529411764,0.6151430724640667
14065_03837,仙台徳洲会病院（高玉町,10,0.11764705882352941,0.6151430724640667
14065_03837,仙台東脳神経外科（岩切一,1,0.011764705882352941,0.6151430724640667
14065_03837,仙台赤十字病院（八木山本町二,2,0.023529411764705882,0.6151430724640667
14065_03837,広南病院（長町南四,6,0.07058823529411765,0.6151430724640667
14065_03837,東北公済病院（国分町二,3,0.03529411764705882,0.6151430724640667
14065_03837,東北労災病院（台原四,5,0.058823529411764705,0.6151430724640667
14065_03837,東北大学病院（星陵町,22,0.25882352941176473,0.6151430724640667
14065_03837,泉整形外科病院（上谷刈,2,0.023529411764705882,0.6151430724640667
14065_03837,泉病院（長命ヶ丘二,1,0.011764705882352941,0.6151430724640667
14065_03837,若林病院　東北医科薬科大学（大和町二,1,0.011764705882352941,0.6151430724640667
14065_03837,ＪＣＨＯ仙台病院（紫山二,8,0.09411764705882353,0.6151430724640667
14066_03826,イムス明理会仙台総合病院（中央四,6,0.0335195530726257,0.6181626883260574
14066_03826,中嶋病院（大梶,10,0.055865921787709494,0.6181626883260574
14066_03826,仙台オープン病院（鶴ヶ谷五,9,0.05027932960893855,0.6181626883260574
14066_03826,仙台医療センター（宮城野二,12,0.0670391061452514,0.6181626883260574
14066_03826,仙台厚生病院（堤通雨宮町,21,0.11731843575418995,0.6181626883260574
14066_03826,仙台厚生病院（広瀬町,3,0.01675977653631285,0.6181626883260574
14066_03826,仙台市立病院（あすと長町一,16,0.0893854748603352,0.6181626883260574
14066_03826,仙台徳洲会病院（高玉町,13,0.07262569832402235,0.6181626883260574
14066_03826,仙台赤十字病院（八木山本町二,19,0.10614525139664804,0.6181626883260574
14066_03826,伊藤病院（二日町）,4,0.0223463687150838,0.6181626883260574
14066_03826,広南病院（長町南四,13,0.07262569832402235,0.6181626883260574
14066_03826,東北公済病院（国分町二,16,0.0893854748603352,0.6181626883260574
14066_03826,東北労災病院（台原四,9,0.05027932960893855,0.6181626883260574
14066_03826,東北大学病院（星陵町,11,0.061452513966480445,0.6181626883260574
14066_03826,河原町病院（南小泉字八軒,1,0.00558659217877095,0.6181626883260574
14066_03826,泉整形外科病院（上谷刈,5,0.027932960893854747,0.6181626883260574
14066_03826,泉病院（長命ヶ丘二,4,0.0223463687150838,0.6181626883260574
14066_03826,ＪＣＨＯ仙台病院（紫山二,2,0.0111731843575419,0.6181626883260574
14066_03826,ＪＲ仙台病院（五橋一,5,0.027932960893854747,0.6181626883260574
14066_03836,中嶋病院（大梶,1,0.030303030303030304,0.6277426209446785
14066_03836,仙台医療センター（宮城野二,7,0.21212121212121213,0.6277426209446785
14066_03836,仙台市立病院（あすと長町一,2,0.06060606060606061,0.6277426209446785
14066_03836,伊藤病院（二日町）,1,0.030303030303030304,0.6277426209446785
14066_03836,広南病院（長町南四,1,0.030303030303030304,0.6277426209446785
14066_03836,東北公済病院（国分町二,9,0.2727272727272727,0.6277426209446785
14066_03836,東北労災病院（台原四,7,0.21212121212121213,0.6277426209446785
14066_03836,東北大学病院（星陵町,1,0.030303030303030304,0.6277426209446785
14066_03836,松田病院（実沢字立田屋敷,3,0.09090909090909091,0.6277426209446785
14066_03836,県こども病院（落合四,1,0.030303030303030304,0.6277426209446785
